aX,aY,aZ,gX,gY,gZ
0.348,0.303,0.833,-45.044,2.930,-8.789
0.278,0.244,0.967,-43.518,-4.150,-15.869
0.105,0.233,1.024,-39.429,-7.751,-16.663
-0.063,0.219,1.071,-35.583,-8.545,-19.775
-0.153,0.188,1.067,-28.442,-5.432,-15.198
-0.163,0.189,1.046,-20.996,-9.827,-8.667
-0.102,0.171,1.026,-14.343,-17.700,-3.357
-0.049,0.083,0.952,-5.615,-22.766,1.404
-0.002,0.014,0.895,-2.197,-22.522,3.357
-0.051,0.031,0.890,-7.324,-22.278,-8.972
-0.034,0.020,0.947,-10.986,-11.536,0.671
-0.026,0.066,1.033,-16.785,-6.958,0.488
-0.030,0.078,1.150,-18.311,-0.732,0.916
-0.016,0.090,1.235,-17.029,2.686,0.610
0.005,0.021,1.238,-9.644,6.348,0.549
-0.001,0.032,1.157,-1.343,4.883,0.061
0.000,0.018,1.080,3.357,-1.465,0.610
0.033,0.007,1.046,4.395,-6.042,3.418
0.046,0.003,1.061,1.282,-8.362,4.822
0.019,0.021,1.086,-1.526,-6.165,2.991
-0.027,0.060,1.096,-2.014,-0.549,0.183
-0.066,0.100,1.123,-2.197,4.578,-0.549
-0.059,0.094,1.160,-1.160,6.958,1.770
-0.011,0.081,1.174,2.930,7.324,5.798
0.065,0.053,1.143,9.399,4.517,7.690
0.126,0.021,1.067,15.808,1.038,7.812
0.151,0.006,0.983,19.287,-4.639,6.836
0.146,-0.021,0.916,19.775,-10.132,3.601
0.113,-0.039,0.854,17.212,-9.583,0.122
0.063,-0.038,0.832,12.878,-5.371,-3.479
-0.014,-0.012,0.843,7.202,0.854,-7.019
-0.078,0.014,0.864,1.099,5.249,-6.775
-0.088,0.034,0.906,-3.723,3.662,-2.380
-0.016,0.013,0.955,-6.165,-0.244,3.418
0.064,-0.013,0.969,-5.676,-3.113,8.179
0.110,-0.005,0.975,-3.723,-4.700,8.301
0.108,0.014,0.986,-2.136,-4.578,4.822
0.083,0.035,0.996,-0.793,-4.089,1.587
0.047,0.056,1.001,-0.061,-4.456,0.305
0.030,0.056,1.019,0.366,-2.075,-0.732
0.007,0.063,1.020,0.610,3.418,-1.770
0.002,0.059,1.026,1.770,7.568,-2.136
0.013,0.052,1.031,3.906,8.423,-1.099
0.034,0.025,1.009,7.141,6.226,-0.122
0.058,0.013,0.960,10.071,2.930,0.610
0.044,0.021,0.917,10.864,-0.732,0.488
0.045,0.033,0.892,8.606,-0.732,0.305
0.037,0.035,0.892,5.005,0.244,0.000
0.041,0.028,0.922,2.136,-0.366,0.549
0.042,0.020,0.956,0.366,-1.587,1.770
0.033,0.010,0.979,0.366,-2.747,2.441
0.029,0.026,0.995,0.793,-2.686,1.953
0.026,0.035,1.013,1.892,-2.380,2.075
0.042,0.039,1.021,3.601,-0.122,1.404
0.050,0.037,1.005,5.737,1.709,0.366
0.041,0.036,0.981,7.690,0.549,0.000
0.027,0.022,0.961,8.118,-0.793,-0.061
0.065,0.002,0.957,7.324,-1.038,0.427
0.044,0.008,0.963,6.165,-1.099,0.549
0.032,-0.004,0.966,5.005,1.770,0.854
0.014,0.030,0.948,2.991,2.014,-1.709
0.032,0.023,0.958,2.869,2.625,1.648
0.036,0.023,0.973,1.404,-2.014,-1.709
0.056,0.012,0.981,2.075,-1.221,0.732
0.057,0.014,0.958,3.235,-0.977,0.854
0.044,0.021,0.933,4.028,-2.808,1.465
0.064,0.015,0.905,3.479,-3.967,2.563
0.081,0.005,0.902,2.319,-4.272,1.648
0.060,0.002,0.913,0.671,-3.723,0.732
0.032,0.017,0.932,-0.122,-2.014,-0.427
0.030,0.012,0.944,-0.122,-0.671,-0.305
0.033,0.010,0.939,0.244,-2.014,0.305
0.047,0.021,0.943,-0.305,-4.028,0.671
0.059,0.026,0.943,-0.549,-4.944,0.793
0.072,0.031,0.942,-0.671,-3.967,0.732
0.081,0.022,0.955,-0.854,-2.563,0.427
0.073,0.018,0.970,-1.099,-1.709,0.000
0.040,0.014,0.979,-0.854,-0.916,-1.099
0.007,0.003,0.967,-0.183,0.183,-2.075
-0.005,0.001,0.937,0.122,0.061,-1.587
-0.000,0.009,0.926,-0.549,-2.747,-0.610
0.016,0.005,0.940,-1.587,-4.395,0.305
0.041,0.011,0.958,-2.197,-3.113,0.793
0.041,0.020,0.975,-2.747,-1.038,0.366
0.025,0.025,0.984,-3.113,-0.427,-0.305
0.020,0.025,0.992,-2.441,-0.366,-0.732
0.016,0.018,0.999,-1.709,-0.977,-1.099
0.013,0.028,1.000,-0.793,-1.526,-1.160
0.007,0.028,0.998,-0.732,-1.709,-0.977
0.011,0.022,1.003,-0.671,-3.357,0.244
0.024,0.014,1.005,-0.671,-3.967,0.793
0.016,0.016,1.000,-0.244,-3.296,0.610
-0.008,0.027,0.996,-0.183,-2.014,-0.549

-0.125,-1.981,0.727,-15.259,-37.292,23.743
-0.196,-2.213,0.685,-20.081,-46.692,30.029
-0.245,-2.305,0.569,-20.203,-50.964,34.363
-0.330,-2.226,0.372,-20.447,-44.861,35.828
-0.313,-2.018,0.206,-26.733,-27.405,36.499
-0.175,-1.692,0.107,-43.091,-7.385,39.185
0.010,-1.275,0.235,-73.425,-3.906,41.870
0.022,-0.833,0.475,-97.351,-18.311,37.231
-0.119,-0.340,0.437,-100.586,-28.625,33.264
-0.355,0.264,0.329,-96.863,-47.241,33.142
-0.400,0.774,0.309,-97.900,-65.247,51.208
-0.181,1.482,0.534,-109.985,-62.500,60.486
-0.062,1.843,0.970,-133.179,-18.616,40.771
-0.045,1.756,1.434,-149.597,32.837,7.690
-0.129,1.486,1.668,-145.569,54.749,-9.155
-0.276,1.394,1.560,-118.896,32.654,-4.395
