aX,aY,aZ,gX,gY,gZ
-0.014,-0.904,-0.507,-2.502,-2.197,-2.869
-0.011,-0.899,-0.509,-3.906,-4.211,-3.418
-0.015,-0.902,-0.504,-5.798,-5.981,-3.479
-0.008,-0.917,-0.497,-7.385,-6.409,-3.235
-0.023,-0.922,-0.482,-7.141,-4.883,-2.502
-0.032,-0.919,-0.489,-4.883,-0.610,-1.038
-0.036,-0.904,-0.506,-2.319,4.517,1.282
-0.044,-0.903,-0.512,-1.648,6.897,2.991
-0.029,-0.911,-0.501,-3.174,6.287,2.930
-0.015,-0.926,-0.490,-4.333,4.639,1.404
-0.023,-0.928,-0.477,-5.371,1.892,-0.916
-0.035,-0.930,-0.468,-5.615,1.526,-2.686
-0.050,-0.923,-0.469,-5.371,2.686,-2.502
-0.055,-0.916,-0.475,-4.822,3.723,-1.892
-0.070,-0.916,-0.470,-4.761,4.517,-1.526
-0.075,-0.919,-0.464,-5.188,5.493,-0.977
-0.086,-0.908,-0.459,-4.944,5.859,-0.610
-0.104,-0.908,-0.458,-5.127,6.348,0.610
-0.102,-0.911,-0.470,-5.798,6.653,2.075

0.039,-0.831,1.743,91.125,-9.216,-12.329
0.026,-0.856,1.795,110.657,-19.226,-19.226
-0.019,-0.917,1.833,128.113,-25.269,-23.254
-0.057,-0.966,1.913,144.775,-23.682,-22.705
-0.089,-0.997,2.045,163.330,-12.878,-19.714
-0.118,-1.006,2.168,185.425,2.380,-15.503
-0.154,-1.037,2.229,213.867,13.000,-15.442
-0.192,-1.021,2.272,238.159,9.949,-19.409
-0.177,-0.965,2.308,257.751,-4.333,-23.193
-0.148,-0.943,2.274,277.893,-16.602,-21.912
-0.152,-0.888,2.244,291.809,-23.926,-19.897
-0.122,-0.836,2.341,299.744,-35.522,-19.348
-0.094,-0.754,2.391,319.275,-51.453,-20.020
-0.042,-0.608,2.313,348.511,-69.214,-25.574
0.034,-0.364,2.064,377.441,-91.248,-35.339
0.112,-0.140,1.687,402.344,-116.882,-43.640
0.196,0.132,1.296,414.307,-136.841,-47.668
0.290,0.340,0.919,414.307,-142.944,-44.434
0.261,0.473,0.584,407.410,-133.850,-38.025
0.205,0.588,0.380,392.761,-112.183,-26.550
0.193,0.681,0.147,376.099,-80.078,-10.620
0.246,0.759,-0.118,360.107,-52.673,5.981
